CountryID,Country,GNI,ChangesInv,Exports_Imports,FinalConsExp,GrossCF,HouseholdConsExp,AgrHuntForFish,Construction,Manufacturing,MiningManUt,TradeT,TransportComm,Other
27,Chile,62432,17824,20657,38927,16016,44892,12775,8069,10230,7456,11378,2830,9693
28,Colombia,58113,14122,33864,32396,12769,10055,5846,8770,8186,7814,8134,7786,11576
29,South Korea,32456,8690,11957,21868,6980,26537,1639,6439,6661,5808,5343,3148,3419
30,Pakistan,26162,6276,29063,56323,8093,48552,1568,3985,1470,6208,3009,5950,3971
31,Serbia,42010,3158,6604,29946,7037,25879,3323,7918,2422,5914,5186,8857,8389
32,Lithuania,33856,17855,15543,21218,10837,38495,2717,5534,7033,2062,3405,6256,6848
33,Qatar,56603,11797,5282,50817,11991,49979,8385,5594,9352,8495,9169,7390,8218
34,Tajikistan,35136,10210,19089,28925,19614,29280,8767,2570,5244,2523,5024,2757,8251
35,Senegal,40120,10069,16974,56045,17773,46407,4366,5679,6456,3330,8532,3775,7982
36,Thailand,4531,2393,36313,33004,7677,37075,371,1061,709,943,378,634,435
37,Denmark,26050,18638,23378,57247,6411,48882,1976,3286,5537,5818,3238,3827,2368
38,South Africa,8987,10297,15403,30600,11519,19857,934,1705,1171,1558,836,1045,1739
39,New Zealand,9818,17679,20127,35589,18896,17886,2094,1414,1655,521,686,2116,1333
40,United Kingdom,79163,13040,7283,46485,16874,17471,20799,6259,6166,16983,9595,10602,8758
41,Sweden,75398,17068,39318,27377,9277,37231,11484,5702,13854,15198,8035,7858,13267
42,Canada,40983,2597,21844,32682,15918,47083,5087,4712,4320,8626,3676,7624,6938
43,Greece,61353,1655,39015,42217,10840,21462,11416,4709,7513,11318,11967,9214,5216
44,Poland,26850,5864,31223,10617,9044,24272,2242,4107,4549,4318,4547,4168,2920
45,Turkmenistan,61366,7288,35016,11008,7019,44843,11272,8789,10781,6345,7361,5791,11027
46,Australia,18070,6670,36339,54815,14849,43177,2019,2349,2619,2416,3077,2644,2947
47,Namibia,14719,10378,25331,44510,18955,30343,1564,1603,1566,1321,3084,2451,3130
48,Mongolia,12962,9537,16955,58399,17118,25819,1967,2874,2339,907,1680,840,2355
49,Norway,67758,8633,38608,47121,19349,19431,12593,8080,11001,12245,13810,3056,6974
50,Russia,29006,8308,25273,42053,5809,10398,3459,3374,3374,7079,3857,4317,3546
51,Kenya,5180,17089,31431,44512,6181,16604,539,594,1009,465,1531,623,419
52,Japan,55530,11705,16486,48892,9970,37056,13393,14245,3447,6030,4877,6349,7188
53,Angola,56916,11913,27373,27342,12813,13233,12319,5151,6477,11828,5515,3283,12342
54,Mexico,12423,16195,10878,13929,12160,26608,603,2521,1689,2019,1722,1694,2174
55,Laos,30675,16989,18048,47830,14597,38162,6123,7373,2131,6855,2222,2237,3733
56,Argentina,56067,13796,15845,48471,13984,35050,6158,12555,13238,6998,3302,10154,3661
57,Azerbaijan,10092,11313,14605,28015,8448,39895,2470,734,2487,1103,848,1223,1228
58,Zimbabwe,66555,6875,15057,10786,19147,9487,12880,12630,14091,5557,4001,6658,10739
59,Oman,56316,2353,10481,10147,15942,30717,10582,11520,3071,3634,9396,11683,6429
60,Estonia,37281,3654,10587,53683,7473,42205,4887,6133,5984,5102,5382,5703,4090
61,Kuwait,21771,13881,11615,59739,5249,31117,2820,4910,2685,2542,3409,4265,1140
62,Afghanistan,22778,14176,9788,47406,9248,29441,2080,4659,3358,4164,3592,2639,2286
63,Italy,1884,10773,37030,45733,12418,12824,192,370,344,234,289,199,255
64,Indonesia,36088,1091,15058,57387,16893,29497,3587,9817,6751,2272,3886,4218,5558
65,Bangladesh,64472,7228,13946,16896,5324,30753,7104,10488,6257,12060,5283,13098,10182
66,Nigeria,29079,15517,33214,19363,6872,45899,2859,4536,3051,5109,4888,4543,4092
67,Peru,5001,16607,37509,33630,17362,10618,410,369,659,843,468,1358,893
68,Bahrain,27195,4713,8049,37946,13771,25331,5051,3247,1994,3593,2462,5591,5258
69,Croatia,65358,13133,19688,18757,5888,44658,10452,10995,3358,8443,10400,10699,11012
70,Romania,57416,19248,11327,15987,6166,45199,10128,11001,11287,7229,8789,4033,4949
71,India,43861,11829,10760,14768,17115,19604,4033,7101,2961,7177,6530,6266,9793
72,Spain,55134,17174,19475,25234,6634,24479,5980,5989,5281,5555,11428,9183,11717
73,Ivory Coast,41578,2504,7200,21676,6779,9199,4585,4515,4092,4008,11417,9908,3054
74,Netherlands,72414,17394,33526,45911,9882,25442,4953,7601,7537,17764,6786,10891,16882
75,Luxembourg,23995,4548,31695,51835,18053,42071,3542,1291,2470,5563,3297,3793,4041
76,Uzbekistan,12417,18793,37512,21871,13505,26222,1059,974,2187,1854,3144,957,2241
77,Ghana,58397,7676,32664,18532,9161,21295,7746,10674,2937,9876,8352,8842,9970
78,Ethiopia,34483,9858,22169,12256,8183,23331,7532,6163,6167,4779,2266,5280,2297
79,Slovakia,66403,7192,27087,37425,12205,11587,10770,7396,9269,5337,9215,11680,12735
80,Switzerland,8389,9864,21775,54166,12338,47917,1885,1225,541,1767,423,1854,694
81,Kyrgyzstan,2391,14842,34980,24996,14002,29559,617,296,216,288,225,355,393
82,Cambodia,28399,11528,11057,24532,8025,47288,2217,5191,6161,1881,2557,5733,4658
83,Zambia,12912,2501,37481,32271,11656,46789,1927,1852,1086,1878,2132,2090,1947
84,United States,32095,3557,30849,55904,16921,25925,3265,5660,5979,2330,4368,6005,4489
85,United Arab Emirates,39315,12776,19677,32584,9421,24261,5767,2037,6770,3885,7258,7476,6122
86,Vietnam,38371,15403,12943,48878,12750,47485,3629,3106,2970,4320,13132,4761,6453
87,China,76586,12898,13289,15248,8661,33474,20531,11916,7994,9380,8815,12245,5705
88,Germany,68501,7279,5110,11560,5784,23632,16547,4976,10156,13220,4217,11691,7694
89,Kazakhstan,41849,8564,23747,46107,19305,41532,6497,7167,4401,7204,5936,5317,5327
90,Myanmar,40027,8072,10332,17187,5432,47432,5613,7576,4406,4412,7439,2908,7673
91,Belgium,57416,3168,6122,53298,13969,44923,3136,10161,5009,12953,3958,11682,10518
92,Brazil,77024,2796,5407,14904,9070,26815,17192,9302,5489,5503,9937,15815,13786
93,Czech Republic,77543,13022,31663,24498,12666,28478,9439,5168,10697,13249,9579,15432,13980
94,Slovenia,44694,10422,12711,47942,6649,16010,4416,5871,8608,6745,5610,7619,5825
95,Algeria,18273,11510,6552,42222,12923,45065,3544,4083,1168,2826,1058,1113,4482
96,Austria,57919,17284,26806,57884,16828,19924,7869,10967,12189,4250,11251,2839,8553
97,Turkey,15113,9233,33579,38888,19761,24125,1796,727,2844,2755,2914,2304,1772
98,Sri Lanka,72627,1828,20355,27847,19378,19493,4351,14190,13880,16295,6034,6869,11007
